sku,title,description,price_usd,quantity,who_made,when_made,is_supply,category_path,section,tags,materials,photo1,photo2,photo3,photo4,photo5,photo6,photo7
noor-pendant,"Noor Brass Pendant Light — Hand-Pierced Moroccan Lantern","Hand-pierced brass globe suspended on a single brass cord. The name means light. Casts an intricate geometric pattern when lit. Hand-hammered brass with lacquered finish. Made by Omar Berrada in the Marrakesh medina. 10in diameter, 14in tall, 60in cord.",750.00,3,i_did,made_to_order,false,"Home & Living > Lighting > Ceiling & Hanging Lights > Pendant Lights",Pendants,"moroccan pendant,brass pendant,pierced brass,handmade pendant,moroccan lighting,brass lighting,handmade lantern,bohemian pendant,brass ceiling light,moroccan decor,artisan lighting,maison izem,marrakech","Hand-hammered brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/noor-pendant-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/noor-pendant-etsy-1x1.webp,https://www.maisonizem.com/products/scale/noor-pendant-scale.webp,https://www.maisonizem.com/products/lit/noor-pendant-lit.webp,https://www.maisonizem.com/products/macro/noor-pendant-macro.webp,https://www.maisonizem.com/products/alt-white/noor-pendant-alt-white.webp,https://www.maisonizem.com/products/noor-pendant.webp
hilal-pendant,"Hilal Crescent Brass Pendant Light — Star-Cut Moroccan Lantern","Crescent-form pendant in pierced brass. Cool light through a hand-cut star pattern. Made by a single artisan in the Marrakesh medina. Hand-hammered brass with lacquered finish. 12in diameter, 15in tall, 60in cord.",850.00,3,i_did,made_to_order,false,"Home & Living > Lighting > Ceiling & Hanging Lights > Pendant Lights",Pendants,"moroccan pendant,brass pendant,crescent pendant,star pattern,pierced brass,handmade pendant,moroccan lighting,brass lighting,bohemian pendant,brass ceiling light,artisan lighting,maison izem,marrakech","Hand-hammered brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/hilal-pendant-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/hilal-pendant-etsy-1x1.webp,https://www.maisonizem.com/products/scale/hilal-pendant-scale.webp,https://www.maisonizem.com/products/lit/hilal-pendant-lit.webp,https://www.maisonizem.com/products/macro/hilal-pendant-macro.webp,https://www.maisonizem.com/products/alt-white/hilal-pendant-alt-white.webp,https://www.maisonizem.com/products/hilal-pendant.webp
layla-pendant,"Layla Statement Brass Pendant — Hand-Pierced Aged Brass","Statement pendant in aged brass. Layla means night. The pierced shell projects a slow constellation across the ceiling. Hand-hammered brass with lacquered finish. 16in diameter, 20in tall, 72in cord.",1150.00,2,i_did,made_to_order,false,"Home & Living > Lighting > Ceiling & Hanging Lights > Pendant Lights",Pendants,"moroccan pendant,statement pendant,large brass pendant,aged brass,pierced brass,handmade pendant,moroccan lighting,brass dining light,bohemian pendant,brass ceiling light,artisan lighting,maison izem,marrakech","Hand-hammered brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/layla-pendant-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/layla-pendant-etsy-1x1.webp,https://www.maisonizem.com/products/scale/layla-pendant-scale.webp,https://www.maisonizem.com/products/lit/layla-pendant-lit.webp,https://www.maisonizem.com/products/macro/layla-pendant-macro.webp,https://www.maisonizem.com/products/alt-white/layla-pendant-alt-white.webp,https://www.maisonizem.com/products/layla-pendant.webp
najma-pendant,"Najma Eight-Point Star Brass Pendant — Hand-Cut Moroccan","Eight-point star geometry hand-cut into a brass dome. Najma means star. Heavier in the hand than it looks. Hand-hammered brass with lacquered finish. 15in diameter, 18in tall, 72in cord.",1150.00,2,i_did,made_to_order,false,"Home & Living > Lighting > Ceiling & Hanging Lights > Pendant Lights",Pendants,"moroccan pendant,star pendant,eight point star,brass pendant,pierced brass,handmade pendant,moroccan lighting,brass dining light,bohemian pendant,brass ceiling light,artisan lighting,maison izem,marrakech","Hand-hammered brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/najma-pendant-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/najma-pendant-etsy-1x1.webp,https://www.maisonizem.com/products/scale/najma-pendant-scale.webp,https://www.maisonizem.com/products/lit/najma-pendant-lit.webp,https://www.maisonizem.com/products/macro/najma-pendant-macro.webp,https://www.maisonizem.com/products/alt-white/najma-pendant-alt-white.webp,https://www.maisonizem.com/products/najma-pendant.webp
falak-pendant,"Falak Celestial Brass Pendant — Densely Pierced Moroccan","Celestial sphere in pierced brass. Falak refers to the orbit of the stars. Densely patterned, with a deep amber cast when lit. Hand-hammered brass with lacquered finish. 15in diameter, 18in tall, 72in cord.",1150.00,2,i_did,made_to_order,false,"Home & Living > Lighting > Ceiling & Hanging Lights > Pendant Lights",Pendants,"moroccan pendant,celestial pendant,brass pendant,amber pendant,pierced brass,handmade pendant,moroccan lighting,brass dining light,bohemian pendant,brass ceiling light,artisan lighting,maison izem,marrakech","Hand-hammered brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/falak-pendant-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/falak-pendant-etsy-1x1.webp,https://www.maisonizem.com/products/scale/falak-pendant-scale.webp,https://www.maisonizem.com/products/lit/falak-pendant-lit.webp,https://www.maisonizem.com/products/macro/falak-pendant-macro.webp,https://www.maisonizem.com/products/alt-white/falak-pendant-alt-white.webp,https://www.maisonizem.com/products/falak-pendant.webp
warda-pendant,"Warda Rose-Petal Brass Pendant — Hand-Cut Moroccan Globe","Rose-petal piercework on a soft-edged brass globe. Warda means rose. The pattern is denser at the crown and opens at the base. Hand-hammered brass with lacquered finish. 14in diameter, 17in tall, 72in cord.",1150.00,3,i_did,made_to_order,false,"Home & Living > Lighting > Ceiling & Hanging Lights > Pendant Lights",Pendants,"moroccan pendant,rose pendant,floral pierced,brass pendant,handmade pendant,moroccan lighting,brass dining light,bohemian pendant,brass ceiling light,artisan lighting,maison izem,marrakech,floral lighting","Hand-hammered brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/warda-pendant-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/warda-pendant-etsy-1x1.webp,https://www.maisonizem.com/products/scale/warda-pendant-scale.webp,https://www.maisonizem.com/products/lit/warda-pendant-lit.webp,https://www.maisonizem.com/products/macro/warda-pendant-macro.webp,https://www.maisonizem.com/products/alt-white/warda-pendant-alt-white.webp,https://www.maisonizem.com/products/warda-pendant.webp
bayt-pendant,"Bayt Hero Brass Pendant — Two-Tier Moucharabieh Fretwork","Hero pendant. Two-tier brass dome with hand-cut moucharabieh fretwork. Bayt means dwelling. Anchors a dining table or a stair landing. Hand-hammered brass with lacquered finish. 22in diameter, 26in tall, 72in cord.",1450.00,1,i_did,made_to_order,false,"Home & Living > Lighting > Ceiling & Hanging Lights > Pendant Lights",Pendants,"moroccan pendant,hero pendant,large brass pendant,moucharabieh,statement pendant,handmade pendant,moroccan lighting,brass dining light,bohemian pendant,brass ceiling light,artisan lighting,maison izem,marrakech","Hand-hammered brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/bayt-pendant-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/bayt-pendant-etsy-1x1.webp,https://www.maisonizem.com/products/scale/bayt-pendant-scale.webp,https://www.maisonizem.com/products/lit/bayt-pendant-lit.webp,https://www.maisonizem.com/products/macro/bayt-pendant-macro.webp,https://www.maisonizem.com/products/alt-white/bayt-pendant-alt-white.webp,https://www.maisonizem.com/products/bayt-pendant.webp
bayda-pendant,"Bayda Egg-Form Polished Brass Pendant — Minimalist Moroccan","Egg-form pendant in polished brass. Bayda means white, or egg. Smooth surface with a single chiseled equatorial line. Hand-hammered brass with lacquered finish. 9in diameter, 13in tall, 60in cord.",750.00,4,i_did,made_to_order,false,"Home & Living > Lighting > Ceiling & Hanging Lights > Pendant Lights",Pendants,"moroccan pendant,minimalist pendant,brass pendant,egg pendant,polished brass,handmade pendant,moroccan lighting,small pendant,modern pendant,brass ceiling light,artisan lighting,maison izem,marrakech","Hand-hammered brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/bayda-pendant-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/bayda-pendant-etsy-1x1.webp,https://www.maisonizem.com/products/scale/bayda-pendant-scale.webp,https://www.maisonizem.com/products/lit/bayda-pendant-lit.webp,https://www.maisonizem.com/products/macro/bayda-pendant-macro.webp,https://www.maisonizem.com/products/alt-white/bayda-pendant-alt-white.webp,https://www.maisonizem.com/products/bayda-pendant.webp
qubba-pendant,"Qubba Dome Brass Pendant — Pierced Brass Crown","Dome-form pendant referencing the qubba of a saint shrine. Pierced brass crown, plain skirt. Hangs solemn. Hand-hammered brass with lacquered finish. 11in diameter, 15in tall, 60in cord.",750.00,3,i_did,made_to_order,false,"Home & Living > Lighting > Ceiling & Hanging Lights > Pendant Lights",Pendants,"moroccan pendant,dome pendant,brass pendant,pierced brass,handmade pendant,moroccan lighting,small pendant,bohemian pendant,brass ceiling light,artisan lighting,maison izem,marrakech,architectural pendant","Hand-hammered brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/qubba-pendant-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/qubba-pendant-etsy-1x1.webp,https://www.maisonizem.com/products/scale/qubba-pendant-scale.webp,https://www.maisonizem.com/products/lit/qubba-pendant-lit.webp,https://www.maisonizem.com/products/macro/qubba-pendant-macro.webp,https://www.maisonizem.com/products/alt-white/qubba-pendant-alt-white.webp,https://www.maisonizem.com/products/qubba-pendant.webp
sirage-pendant,"Sirage Tapered Brass Pendant — Wheat Pattern Pierced","Sirage is the lamp that gives light in the dark. Tapered brass body, pierced in a vertical wheat pattern. Hand-hammered brass with lacquered finish. 9in diameter, 16in tall, 60in cord.",750.00,4,i_did,made_to_order,false,"Home & Living > Lighting > Ceiling & Hanging Lights > Pendant Lights",Pendants,"moroccan pendant,tapered pendant,brass pendant,wheat pattern,pierced brass,handmade pendant,moroccan lighting,bohemian pendant,brass ceiling light,artisan lighting,maison izem,marrakech,small pendant","Hand-hammered brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/sirage-pendant-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/sirage-pendant-etsy-1x1.webp,https://www.maisonizem.com/products/scale/sirage-pendant-scale.webp,https://www.maisonizem.com/products/lit/sirage-pendant-lit.webp,https://www.maisonizem.com/products/macro/sirage-pendant-macro.webp,https://www.maisonizem.com/products/alt-white/sirage-pendant-alt-white.webp,https://www.maisonizem.com/products/sirage-pendant.webp
